,männlich
"90,0","90,0"
"90,1","90,1"
"90,2","90,2"
"90,3","90,3"
"90,4","90,4"
"90,5","90,5"
"90,6","90,6"
"90,7","90,7"
"90,8","90,8"
"90,9","90,9"
"91,0","91,0"
"91,1","91,1"
"91,2","91,2"
"91,3","91,3"
"91,4","91,4"
"91,5","91,5"
"91,6","91,6"
"91,7","91,7"
"91,8","91,8"
"91,9","91,9"
"92,0","92,0"
"92,1","92,1"
"92,2","92,2"
"92,3","92,3"
"92,4","92,4"
"92,5","92,5"
"92,6","92,6"
"92,7","92,7"
"92,8","92,8"
"92,9","92,9"
"93,0","93,0"
"93,1","93,1"
"93,2","93,2"
"93,3","93,3"
"93,4","93,4"
"93,5","93,5"
"93,6","93,6"
"93,7","93,7"
"93,8","93,8"
"93,9","93,9"
"94,0","94,0"
"94,1","94,1"
"94,2","94,2"
"94,3","94,3"
"94,4","94,4"
"94,5","94,5"
"94,6","94,6"
"94,7","94,7"
"94,8","94,8"
"94,9","94,9"
"95,0","95,0"
"95,1","95,1"
"95,2","95,2"
"95,3","95,3"
"95,4","95,4"
"95,5","95,5"
"96,0","95,5"
"97,0","96,0"
"98,0","96,5"
"99,0","97,0"
"100,0","97,5"
"101,0","98,5"
"102,0","99,5"
"103,0","100,5"
"104,0","101,0"
"105,0","102,0"
"106,0","103,0"
"107,0","103,5"
"108,0","103,5"
"109,0","104,0"
"110,0","104,0"
"111,0","104,0"
"112,0","104,5"
"113,0","104,5"
"114,0","105,0"
"115,0","105,0"
"116,0","105,5"
"117,0","106,0"
"118,0","106,5"
"119,0","107,0"
"120,0","107,5"
"121,0","108,0"
"122,0","108,5"
"123,0","109,0"
"124,0","109,5"
"125,0","110,0"
"126,0","110,5"
"127,0","111,0"
"128,0","111,5"
"129,0","112,0"
"130,0","112,5"
"131,0","113,0"
"132,0","113,5"
"133,0","114,0"
"134,0","114,5"
"135,0","115,0"
"136,0","115,5"
"137,0","116,0"
"138,0","116,5"
"139,0","117,0"
"140,0","117,5"
"141,0","118,0"
"142,0","118,5"
"143,0","119,0"
"144,0","119,5"
"145,0","120,0"
"146,0","120,5"
"147,0","121,0"
"148,0","121,5"
"149,0","122,0"
"150,0","122,5"
"151,0","123,0"
"152,0","123,5"
"153,0","124,0"
"154,0","124,5"
"155,0","125,0"
"156,0","125,5"
"157,0","126,0"
"158,0","126,5"
"159,0","127,0"
"160,0","127,5"
